SKU,Stock,"Length (cm)","Width (cm)","Height (cm)","Regular price",Tags
19003,1,7.5,5.5,3.2,30,relax
19052,7,20.5,1.5,10.5,25,relax
19121,6,3.5,3.5,8,23.5,"relax\, woman"
19126,0,3,3,11,10,gardening
19128,0,25,11,6,21.8,gardening
19130,0,22,10,6,29.8,gardening
19133,0,22,10,6,12,gardening
19135,1,10.5,7.5,7.5,45,cooking
19139,1,10.5,7.5,7.5,12,cooking
19142,1,10.5,7.5,7.5,21,cooking
19144,0,8,5,5,20,"cooking\, self care"
19146,0,5.5,5.5,14.8,20,"cooking\, self care"
19148,1,25.5,13,8,8,general
19150,1,25.5,13,8,12,general
19467,2,16,11,16,105,"cooking, general"
19469,2,16,19.5,2,20,"general, hard liquor, wine"
19470,2,11,4,1.5,15,"man, self care"
19471,2,29,9.2,,20,general
19472,1,11.5,8,4.6,25,"general, man"
19473,2,26.5,12,10,29,"general, man"
19474,2,6,8,8,55,"general, music, relax"
19475,2,33,10.5,,20,"general, man"
19479,2,10,10,10,25,"savoury, sweet"
19547,1,22.8,14.8,3,45,"ground coffee"
19561,1,11.5,13.5,5.5,52,general
19562,1,15,8,15,38,"ground coffee"
